TWEET,CLASS
all the hobbit was not as good as the lotr. sorry... :( @thehobbitmovie @lotro,1
@katriynann oh you definitely will. i had a lotr & hobbit marathon before i saw it; teared up so much when the last goodbye started playing.,1
@thenoveltyact i think jackson has done a good job of including other events around the time of the hobbit into the movies.,1
rt @hannahlouya: i loved the last hobbit film so much; but the hobbit trilogy is still nowhere near as good as the lotr trilogy.,1
hobbit: battles of 5armies ! 3.5 out of 5. it was good but the ending *sigh*. why kili? why thorin?,1
rt @elmakias: saw the hobbit; was a good ride; nothing special. top movie for 2014 is john wick.,1
recently started watching the hobbit and lord of the rings. its actually really good; and ridiculously long.,1
now that that hobbit crap is over maybe #peterjackson can produce somethin good like #district10 the much awaited sequel to #district9,1
rt @vood00ch1ld: hobbit was good recommend watching it recommend bringing me along to watch,1
the hobbit was pretty damn good,1
@evangelinelilly the only good part of the last film of the hobbit was seeing you :3,1
hobbit was pretty good,1
the hobbit was so good but unfortunately i slept for a few minutes while watching it 😭😭😭,1
the hobbit was good,1
@kyotoband maybe tonight. heard its good. catch itttt tonighttt! then go on a hobbit-lotr marathon,1
good morning :) today ill go buy tickets for the hobbit :d,1
the hobbit was really good!!,1
things that get me excited: pizza fridges that come with icecube trays rap guy butts the hobbit fandom really good anime docta who armour m8,1
@mahrask_ chft the hobbit bs;elbajen ams nzlo; it was good y3ne;etha t7ben hindi go for p.k lna the imdp 8.3/10;night at the museum ymd7ona.,1
rt @evan_alpern: well daniel just got in a car accident but on the bright side the hobbit was good,1
@jonbry97 ive seen the hobbit. was good but not my favourite. im really behind on my reading too. like; 3 weeks!,1
hobbit was fucking good,1
watched the hobbit last night; it was good :),1
the hobbit the battle of five armies was so good!!,1
i will remember the hobbit movies as lots of good individual moments padded with a lot of not as good moments.,1
the hobbit part 3 is too good ❤️😎✌️,1
rt @crunk_jews: all i really want is a hobbit hole in the shire; ale at the green dragon; some good pipe weed; and a wizard wingman to help…,1
cant wait to watch the hobbit later; everyone is saying good things about it 🎬,1
had a great time catching up with my high school best friend today. also watched the hobbit and boy was that good.,1
i cant believe how good the last hobbit was. my life is complete.,1
@glassesnghutrah good plan; my mate over hyped the new hobbit film now he thinks it ruined the entire series he was so let down by it lol,1
@adamk711 for many various reasons i havent seen any of the hobbit films. putting aside the obvious detractions; are they actually good?,1
@bettercitra good girl. lets go watch movie the hobbit.,1
the new hobbit was good but not the standard weve come a custom to both in quality and length,1
its a good thing to watch hobbit first bcs lord the rings is after hobbit,1
the hobbit: the battle of the five armies was double good!!😁❤,1
has anyone been to see the new hobbit ive been so zoned out i didnt even know it was out is it good @snatt0r,1
rt @elmakias: saw the hobbit; was a good ride; nothing special. top movie for 2014 is john wick.,1
rt @hannahlouya: i loved the last hobbit film so much; but the hobbit trilogy is still nowhere near as good as the lotr trilogy.,1
rt @thevampstristan: just watched the hobbit! good film! still prefer lotr though! 😁,1
watching the hobbit!! oh my gawd such a nice movieeeeee i love it so muchhhh. the ending was good :d,1
@livworrall @hannahelizmills good cause im going to the hobbit at some point on sunday too (obvs your welcome to come!),1
rt @thevampstristan: just watched the hobbit! good film! still prefer lotr though! 😁,1
done watching the hobbit: the battle of the five armies!! its a good film but my favorite character died 😭😰,1
@ziraheeteuk omg it was good! the best of all the hobbit sequel! 👌,1
rt @duleimifasolati: had a good time watching the hobbit with @charinajenine & @joeacosta06 ! thanks! 😊 goodnight😴,1
the hobbit is damn good,1
rt @ryanweightman: the hobbit was really good last night come to think of it! best one out of the three! #thehobbitthebattleoffivearmies,1
sad when they said goodbye. sad when i realised its the end of the hobbit..,1
going to see the hobbit the night anyone seen it ? is it any good ?,1
rt @jennluvztexans: good morning! saw the latest hobbit movie last night and it was awesome!!,1
@s_hoof hey; was that hobbit film any good? thinking of going to see it over xmas.,1
@punkrock_hobbit i dont know what most of that says but this drawing is so good and its really cute,1
@punkrock_hobbit ohh i see well anyway its a really good drawing 😊,1
rt @yecatsnajumuaj: sad when they said goodbye. sad when i realised its the end of the hobbit..,1
the hobbit was soo damn good 👀,1
i have no words of how good the final hobbit was,1
the hobbit was so good. had three hours of sleep though. 😴,-1
@shaketrampjur true. btw; dyou know what ryan said yesterday? everyone who thinks the hobbit is good; is wrong! he was serious,1
the hobbit was good👍(good is the only adjective i can think of for now) but yeah;it was really good(putting really to sound realistic),1
okay guys so im back from the hobbit and it was..... well less good than i thought.... a bit disappointing.....,1
e and the boys leave in an hour or so. then the hobbit with my mom. good start to the weekend; imo.,1
the final hobbit movie was pretty good last night; but i think they could have done the whole film in one 3 hour movie. two 2 hours at most.,1
i hope the last hobbit movie is good cuz im seeing it on my day off 😚,1
i wanted to weep at the hobbit omg so good,1
got high hopes for the 3rd hobbit movie; yall best be good,1
cant wait to watch the hobbit tonight 😁 still not as good as lord of the rings though,1
rt @dawnyoung_x: cant wait to watch the hobbit tonight 😁 still not as good as lord of the rings though,1
omg the hobbit was so good,1
the hobbit is soo fucking awesome! too bad i have to say goodbye to middle-earth 😢,-1
rt @dawnyoung_x: cant wait to watch the hobbit tonight 😁 still not as good as lord of the rings though,1
jon spoke incessantly about smeagle and smaug; of rings of power; of good and evil wizards. it was a bad hobbit habit. #fp,-1
rt @battlecreekdav: jon spoke incessantly about smeagle and smaug; of rings of power; of good and evil wizards. it was a bad hobbit habit. …,-1
rt @taylor__daniel: the last hobbit was pretty good!,1
so whos seen the hobbit? any good? looking forward to it this afty :),1
rt @battlecreekdav: jon spoke incessantly about smeagle and smaug; of rings of power; of good and evil wizards. it was a bad hobbit habit. …,-1
hobbit looks so good i cant wait,1
hobbit was really good. my fav character is still bilbo baggins! ☺️,1
rt @battlecreekdav: jon spoke incessantly about smeagle and smaug; of rings of power; of good and evil wizards. it was a bad hobbit habit. …,-1
hobbit: the battle of five armies was solid. peter jackson is not the perfect director i once thought him to be; but the film is a good end,1
the hobbit was an effin damn good movie!!,1
hobbit was so fuckng good ammfbel kavsk,1
~ the hobbit. i dont quite understand the movie cause i never watched it before. but the story line is good to me. ~,1
rt @lidiyakhairul: the hobbit was an effin damn good movie!!,1
rt @lidiyakhairul: the hobbit was an effin damn good movie!!,1
hobbit the battle of five army was very good; worth of money for 3d,1
rt @heytherehaley_: ugh. the hobbit is so good. such a lor fan. 👏👏👏👏👏👏,1
@misszombiecake sounds good to know; off to see the hobbit now in the cinema; catch up on skype soon?,1
i dont know what im more excited about: how good the hobbit was yesterday or how good my paycheck was today.,1
was gonna go see the hobbit solo today but got asked to open on my day off. more hours more moolah though so its all good.,1
the hobbit was really good. such perfect ending. 😊😊,1
hobbit is too damn good,1
omg the new hobbit movie was so good 👌,1
the hobbit last night and dumb and dumber tonight...its been a good two days!,1
saw the final hobbit last night. good; but they didnt seem as inspired as the lotr films.,1
last day of work for 2 weeks and going to see the hobbit in imax 3d #onelasttime its gonna be a good one! #happytweet,1
hobbit was damn good hsuwhbqka my most well spent 7bucks of my life no ragggrets,1
time for the hobbit with my baby!!! not rly a fan but oh well hope its good~,1
watching the hobbit today. mixed emotions; i cant wait to watch it but i dont want to say goodbye to the middle earth,1
so hobbit 3; it was good but i will still say hobbit shouldve been a single movie.. they couldve done a separate move abt the middle earth,1
the hobbit was so good. last installment was perff. peter jackson you nailed it.,1
rt @egogreenturtle: ~ the hobbit. i dont quite understand the movie cause i never watched it before. but the story line is good to me. ~,1
the good news is hobbit ni torrent ma aaisakyo.,1
hobbit and tgis will be a good night,1
hobbit was exceptionally good... for me,1
ive heard that the 3rd hobbit film is not good :( and i wanted to go to cinema...,1
ready to watch the hobbit; but not ready to say goodbye to middle earth yet...,1
the hobbit 3 #whatagoodmovie,1
@goodreads ill be finishing the hobbit and continuing with nos4a2 by @joe_hill,1
#vlogmas day 19 friday: the hobbit is so good,1
the hobbit was so good!!!!!!!,1
@cheeserzeppeli im good im gonna see the hobbit in an hour or so :3c how r u!!,1
the hobbit was so good zhzhsnsbszhsjsj worth watching it for 2hrs and 25mins,1
the hobbits really good and i watched it with 3d glasses 😎,1
@elenapoopdoza i dont take shit from cachetona lookin ass bitches that think the hobbit trilogy is good,1
@isaacseee hahahah walao still have the guts to say that??? not forgiven but yeah hobbit was good!!!,1
good morning everyone! happy friday! cant wait til tonight!! movie night! finally get to see the hobbit!,1
not very good but still loved the hobbit.,1
the hobbit was fantastic ❤️ there wasnt as much good music in this one though; unfortunately,1
@izharsmiley yeah its good bro 👍 best of all the hobbit show,1
@that_hobbit_kid what a lovely gingerbread house; good luck!,1
@aishyywaishyy hobbit yes good lets watch with ilene and averyl omgad,1
i still cant get over how good the hobbit was i want to see it again,1
the hobbit: battle of five armies..quality flim to end off the series! probably a good time to rewatch lord of the rings trilogy👌,1
i had such a good time watching the first hobbit in 48fps hfr and 3d. i hope hobbit 3 will be just as good technically.,1
on a scale of 1 to 911 how good was the new hobbit movie? @billratchet,1
one good thing that happened today: a friend and i talked about how captivating the third hobbit movie was; and it was a blissful two hours.,1
gospel thoughts on the hobbit: money corrupts; good will always fight evil; evil seeks deceit; friends;love and faithfulness win the day.,1
rt @thevampstristan: just watched the hobbit! good film! still prefer lotr though! 😁,1
@gandeeeey i feel like as much of a good ending korra was i wanted a lot more. actually same with the hobbit lol,1
hobbit was just too damn good,1
had enough amazon reward points to get screen cleaners for the new 3ds plus the animated hobbit and lotr movies from the 70s. good times!,1
hobbit 3 was good but it felt so short,1
cant get over how good the hobbit was last night; amazing movie; definite must see 👀👍,1
i wake up to korrasami im going to see the hobbit later dad said hes brining home my favorite chinese food tonight good,1
happy fri! its gonna be a good one - heading out to see the final hobbit tonight - how many others are going?,1
fucking christmas breaks. plans for watching new hobbit movie are now postponed to next year. plus; student restaurants are closed.not good.,1
the hobbit was a good movie! #thehobbitthebattleoffivearmies,1
go see the hobbit. everybody. do it. so good.,1
watched the hobbit yesterday with a good company 👍👏,1
"i like how everyone suddenly realized that making ""the hobbit"" into 3 films wasnt a good idea. was evident as soon as they announced it.",1
the only good thing about the hobbit is the end when you hear ed sing i see fire,1
good ending to round out the hobbit movies; if youre a fan; definitely should go and see it,1
a task based day today including joys like the #dmv; off to the #hobbit later... well; im sure the popcorn will be good!,1
rt @michaelparsley_: want to cry because hobbit 3 was so good....😍😢,1
the hobbit was brilliant. a good end to a great trilogy.,1
good morning :) going to see the hobbit today!,1
rt @dylanlegebokow: so its settled! im moving to rivendell in the fall #rivendell2015 final hobbit movie was toooooooooo good. cant even fa…,1
the hobbit better be good,1
if someone can download a good quality version of the new hobbit onto a drive or dvd for me ill pay you $20,1
the last installment of the hobbit. a part of me just died. goodbye; childhood. :(,1
the hobbit was a good ass movie 🎯,1
finishing work early and getting to spend the day with @jaymez1989 watching the hobbit and eating loads of food is so good (((:,1
what i learned from the hobbit 3: a) it is good b) it is very good c) probably my favourite hobbit film. #hobbit #bobbit #bilbo #baggin #bag,1
nicest thing anyone has ever said about me? @goodmaggie rt i would rather read @use_theforce_em on the hobbit than see the movie,1
@mattycii @boybearpig @navajodude1972 good morning loves. hope all is well today. im at work. new hobbit is great!,1
rt @cbeardrums: the hobbit trilogy is pretty freakin good!!! but in my opinion will never touch the lotr movies.,1
hobbit was quite good and lots of action but could and should have been so much better,1
ive had the last goodbye from the hobbit on repeat at work all day. sitting here all teary-eyed like a twit.,1
ready to see the new hobbit movie. hoping it will be as good as the book.,1
@ajinsone: the hobbit was good!!! fili...... my fili.... 😭,1
hobbit 3 good work guys congratz peter jakson,1
rt @beachippie: the hobbit was.... so. freaking. good. that is all ill say 🙌,1
hobbit in imax 3d; this had better be good...,1
the hobbit was so good and i may have cried a lot.,1
hobbit was so gooddd,1
the hobbit was real good.,1
the hobbit was really good,1
the hobbit was good the battle was crazy,1
hobbit was good,1
anyone saw the new hobbit yet? i am going to watch it later on today and wondering if its any good.,1
lots of good movies at #amstarcinemas this weekend! whats on your list to go see? the hobbit; night at the museum; annie...,1
the hobbit : battle of fivr armies. a rating of 3.5/5 from me which is good.,1
@ryfles_ wahh ive yet to watch it but it sounds promising already! glad hobbit was heartbreaking in a good way!,1
at a screening of the hobbit courtesy of graycon and avaya. should be good!,1
the ending for the hobbit was good! but i dont like it! oh kili! 😭 😭 😭,1
just watched the hobbit the battle of five armies; it was so good!,1
@hannahnava that is good. lets see the hobbit!,1
the hobbit was so good i cried,1
@corinraymond @ cameron lastnite was grt then went to see #hobbit twas a good night on the town in the freezing cold,1
finally; good ending hobbit 👍,1
hobbit was so good,1
hobbit part 3 was so good. i recommend it,1
the hobbit films are good but are let down after seeing lord of the rings.,1
i would go see the hobbit a third time. it was wayyyyy to good.,1
the hobbit was good 😊,1
the hobbit was so good last night!!!! even with the odd giggler or two.... @amyfulena @rachyraybabe,1
going to the #hobbit this evening... followed by good curry @wildmangoindian,1
cant get over how good the hobbit was... i wanna see it again...,1
@kathyfgibson hobbit should have been only 2 movies. first was so boring. second one was good but third is uninteresting.,1
ive opted to see the hobbit in 2d; low frame rate. that feels like a good choice.,1
#nw the hobbit: the battle of the five armies @thehobbitmovie #thehobbitthebattleofthefivearmies #onelasttime #thelastgoodbye,1
the hobbit was actually good? better than the 1st 2 by far,1
its weird that the hobbit was so good but doesnt break my top 5 recent movies #gonegirl #nightcrawler #bighero6 #interstellar #foxcatcher,1
saw the hobbit yesterday-good in some places but some bits didnt quite work and its nowhere near the same level of excellence as lotr,1
today is sad and gloomy. but going to see the hobbit at 6 so its still a good day!,1
@mishybot good luck running the bulls. think about martin in the @nbcsnl the hobbit / office crossover. itll help you live through it.,1
the hobbit was fucking amazeballs. good end to the trilogy.,1
the hobbit was so good man,1
my feet r killin n im dead but the hobbit was soooo good i love !!,1
@fivedollardare dont worry - even jackson had the good sense to never film that wet hobbit garbage,1
hobbit was good; even had to hold back the tears,1
hobbit 3 was pretty damn good,1
good day watching hobbit with mum today!! 😁😁,1
xercybmopwredit6sjhckwfnme;iymnu #wcyh4wt hobbit soooo good. tauriel soooo hawt. i want her daggers too though :(,1
if you were unhappy with hobbit 1 & 2; why exactly did you think buying a ticket to see hobbit 3 was a good idea?,1
the hobbit was so good!,1
the new hobbit movie is actually preatty good 10/10 cgi #hobbitdesalationofsmaug,1
fuck; hobbit was such a good movie.,1
new hobbit movie was insanely good,1
@goodguyeli hahaha the article eloquently states my feelings on the hobbit movies and backs it up with actual tolkien quotes,1
rt @keaaaashaav: the hobbit was fucking amazeballs. good end to the trilogy.,1
oh and the hobbit was flippin good! (y),1
ah just watched the hobbit.... its good but its shudve been just 2 part,1
rt @michaelnkm: oh and the hobbit was flippin good! (y),1
the new hobbit movie is sooo good im sad its over,1
the hobbit was so good #goodending,1
hobbit so goodz,1
rt @doc_0: dear hollywood: how about a sequel where a super-smart; good-looking hobbit makes middle earth a workers paradise? do it or els…,1
the hobbit totally exceeded my expectation. i want to watch it again & again cos its that fucking good!!! 😭,1
flippin heck the #hobbit was amazing! haters gonna hate but i thought it was as good as--possibly even better than--the lotr trilogy #cool,1
just been to see the hobbit and it was so good!!,1
just been to see the hobbit and it was so good!!,1
hobbit was good cb i feel like i missing out on life by missing the first two movies!!,1
please go watch the hobbit: the battle of the five armies because it was crazy good and martin freeman is the best 👍,1
the hobbit will never be as good as lord of the rings. end of.,-1
went to see the last hobbit movie with anthony; then had sushi & tempura cheesecake at koi. good food; good movie; & good company,1
the hobbit was pretty good; fair play,1
@thehobbitmovie this last hobbit movie has successfully brought me into tears. ill say #thelastgoodbye to #bilbo & thank you peter jackson.,1
rt @michtastic: please go watch the hobbit: the battle of the five armies because it was crazy good and martin freeman is the best 👍,1
the hobbit was very good 8/10 would recommend,1
the hobbit was good 🙏,1
last hobbit was good dragged on doe,1
the hobbit was so good again!! im now freezing in town alone though,1
the hobbit was so good,1
@nzrjnd someones having a good mood after watching the hobbit. hahaha :),1
the hobbit was so good!,1
the hobbit :(((((((,-1
rt @rae_chelsi: the excitement for the hobbit tonight is so real right now. @blades_taylor @clintkinslow @riccidonnice,1
i did not want the hobbit to end! 😔😭,1
awsome ending fr the hobbit,1
i really enjoyed the hobbit but the lines in it just didnt hold up against th ones in lotr hahah things could have been written better,-1
finally watching the hobbit bless,1
rt @thekhayalan15: well; hobbit 3 was okay. at least i found out what happened to the dragon ha ha.,1
the hobbit finally ends; and its not bad,-1
rt @larynrosey: ermygod the hobbit was bad assssss 😭🙌,-1
@sheepknees it that bad? the second was alright but its just no lotr :( havent been in ages and i may give the hobbit a miss.,-1
i wanna see the hobbit so bad 😩,-1
rt @larynrosey: ermygod the hobbit was bad assssss 😭🙌,-1
peter jackson; i love you; but hobbit 3 was so bad the fuck was that,-1
wna watch hobbit so freaking bad omg 😭😭😭😭😭😭😭,-1
i wanna watch the hobbit soo bad but i also wanna wait for my family from texas to come so i can watch it with them!,-1
the hobbit was badass!,-1
rt @jessecruz4l: the hobbit was badass!,-1
@yourjokesarebad see also: the hobbit in 48fps,-1
rt @jessecruz4l: the hobbit was badass!,-1
rt @simonsbadtweets: north korea has certainly done some awful things to the film industry lately; but at least they didnt turn the hobbit…,-1
now i feel bad for deleting the hobbit,-1
@master_blazed @rebeccamain16 i never watched a single lord of the rings or hobbit movie thats bad ae dave sound like he know what he t ...,-1
oh and the hobbit was amazing by the way... the dwarfs are bad ass,-1
i really wanna watch the hobbit 3 so friggin bad,-1
rt @spreadingdread: if you ever feel bad for procrastinating just remember that peter jackson was still editing the hobbit a few hours befo…,-1
the hobbit was a badass movie!,-1
rt @bryony_millar: the hobbit: battle of the five armys is just badass! loved it!,-1
i want to see the hobbit so bad :(,-1
just watched the hobbit: battle of the five armies and gosh how it made me cry so bad that thorin and kili died gosh life is c r u e l,-1
i want to see the hobbit so bad 😩,-1
wanna see the hobbit so bad 😫😫😫,-1
the hobbit 2; not that bad lah. 4/5 👍,-1
rt @mizaneese: the hobbit 2; not that bad lah. 4/5 👍,-1
i just want to watch the hobbit so bad😭,-1
@branchlord @kirenagun i really dont like the hobbit movies. theyre bad in the same way the new star wars trilogy was bad.,-1
@rurikhan dunno if you saw the latest hobbit; but whoo; it makes you love dwarves! that dwarf army was badass!,-1
night at the museum 3 & get santa start today; with paddington & the hobbit on as well! also a late night screening of bad santa at 10pm! :),-1
@kathyfgibson when are you going for pk?? i m not gonna watch till next week. watched hobbit though. bad experience cause of 48 fpr.,-1
rt @thekinema: night at the museum 3 & get santa start today; with paddington & the hobbit on as well! also a late night screening of bad s…,-1
the hobbit w badriz 😏,-1
@killerrobotarmy oh man; bad news; the hobbit never ends :(,-1
the hobbit could not have been more badass if it tried,-1
lesson learned from the hobbit: bad diplomacy can escalate quickly into war with orcs!,-1
@jadallah_rm @batool_motawe too bad. then; the hobbit 3; imax 3d or regular 2d?,-1
hmm the hobbit not bad.,-1
wanna watch the new hobbit movie so badly,-1
problem with all of this is that *any* tolkien movie made by jackson would not measure up. including the hobbit flicks; which arent bad.,-1
so i knew the hobbit : bofa was gonna make me cry but i never thought itd be that bad #thehobbit #thehobbitthebattleoffivearmies #bofa,-1
after all the bad reviews it got; im not excited for the final hobbit movie. ill probably still catch it on theater but not in any haste.,-1
the new hobbit movie was not bad.....couldve been better..but not bad,-1
wholeheartedly support #lrt; jackson effed the hobbit movies badddddd.,-1
presentation✗ the hobbit ✓ tahu telor kecap ✓. not bad friday.,-1
rt @scottmccunt: wanna watch the new hobbit movie so badly,-1
the final part to the hobbit couldent of had ended better shit was so fucking badass!! but damn sucks that the hobbit an lotr is over.,-1
rt @scottmccunt: wanna watch the new hobbit movie so badly,-1
@maggiebadour time to go see the new hobbit then play spyro! best two things ever in this world,-1
omaha movie alert! you are hereby instructed to see the new hobbit @aksarbencinema and the babadook @filmstreams asap.,-1
rt @thereaderfilm: omaha movie alert! you are hereby instructed to see the new hobbit @aksarbencinema and the babadook @filmstreams asap.,-1
rt @thereaderfilm: omaha movie alert! you are hereby instructed to see the new hobbit @aksarbencinema and the babadook @filmstreams asap.,-1
rt @thereaderfilm: omaha movie alert! you are hereby instructed to see the new hobbit @aksarbencinema and the babadook @filmstreams asap.,-1
being in movie theater with your whole grade watching the hobbit isnt that bad 😂😂,-1
just watched hobbit. just badass!! especially those lines turiel and thranduil gave each other!! damn feels</3,-1
the final hobbit movie was an exhausting nothing. it made me appreciate george lucas attempts at prequel story telling. its that bad.,-1
friyaay rt @yoladewita: presentation✗ the hobbit ✓ tahu telor kecap ✓. not bad friday.,-1
if theres one thing ive learned from both the hobbit and lord of the rings; its that the elves are badasses and shouldnt be messed with.,-1
i really; really; want to go see the hobbit: the battle of the five armies again so fricken bad.,-1
hope goblin up movies back to back like that isnt hobbit forming; could be bad for my elf #obviouspuns,-1
rt @thejovenshire: i want to write down all the things that were so bad about this hobbit movie; bit honestly; i just want to forget it hap…,-1
rt @gemmajth: i really; really; want to go see the hobbit: the battle of the five armies again so fricken bad.,-1
